-100	3.72008e-44	3.72008e-44	1.07328e-13	4.71066e-14	1.07328e-13	1.07328e-13
-99	1.01122e-43	1.01122e-43	1.02599e-13	5.25794e-14	1.02599e-13	7.73922e-14
-98	2.74879e-43	2.74879e-43	1.22288e-13	4.44814e-14	1.22288e-13	1.22288e-13
-97	7.47197e-43	7.47197e-43	7.0359e-14	6.31099e-14	7.0359e-14	7.0359e-14
-96	2.03109e-42	2.03109e-42	1.06201e-13	1.42752e-14	1.06201e-13	5.55321e-14
-95	5.52108e-42	5.52108e-42	3.03551e-14	3.93578e-14	3.03551e-14	3.03551e-14
-94	1.50079e-41	1.50079e-41	2.93825e-14	1.95317e-14	2.93825e-14	2.93825e-14
-93	4.07956e-41	4.07956e-41	9.02225e-14	3.37397e-14	9.02225e-14	1.08592e-13
-92	1.10894e-40	1.10894e-40	2.0595e-14	1.36074e-14	2.0595e-14	2.0595e-14
-91	3.01441e-40	3.01441e-40	1.28529e-14	8.25294e-14	1.28529e-14	1.28529e-14
-90	8.19401e-40	8.19401e-40	5.95272e-14	5.41518e-14	5.95272e-14	2.19395e-13
-89	2.22736e-39	2.22736e-39	2.06537e-14	2.41693e-14	2.06537e-14	1.74898e-13
-88	6.0546e-39	6.0546e-39	1.05619e-14	4.22475e-14	1.05619e-14	1.05619e-14
-87	1.64581e-38	1.64581e-38	8.00889e-14	2.28372e-14	8.00889e-14	8.00889e-14
-86	4.47378e-38	4.47378e-38	6.83776e-14	1.27187e-14	6.83776e-14	6.83776e-14
-85	1.2161e-37	1.2161e-37	1.068e-13	6.83384e-14	1.068e-13	9.56394e-14
-84	3.3057e-37	3.3057e-37	7.33995e-14	3.34783e-14	7.33995e-14	7.33995e-14
-83	8.98583e-37	8.98583e-37	7.67773e-14	1.61734e-14	7.67773e-14	7.67773e-14
-82	2.4426e-36	2.4426e-36	6.81158e-14	6.77054e-14	6.81158e-14	3.13223e-13
-81	6.63968e-36	6.63968e-36	6.78287e-14	8.25216e-14	6.78287e-14	6.78287e-14
-80	1.80485e-35	1.80485e-35	5.77542e-15	1.21432e-14	5.77542e-15	5.77542e-15
