  -4.99999   -833.348   -833.348   -833.348
  -4.99899   -8.26507   -8.26507   -8.26507
  -4.99799   -4.16021   -4.16021   -4.16021
  -4.99699   -2.78284   -2.78284   -2.78284
  -4.99599   -2.09246   -2.09246   -2.09246
  -4.99499   -1.67768   -1.67768   -1.67768
  -4.99399   -1.40095   -1.40095   -1.40095
  -4.99299   -1.20317   -1.20317   -1.20317
  -4.99199   -1.05479   -1.05479   -1.05479
  -4.99099  -0.939344  -0.939344  -0.939344
  -4.98999  -0.846972  -0.846972  -0.846972
  -4.98899  -0.771385  -0.771385  -0.771385
  -4.98799  -0.708389  -0.708389  -0.708389
  -4.98699  -0.655082  -0.655082  -0.655082
  -4.98599  -0.609388  -0.609388  -0.609388
  -4.98499  -0.569786  -0.569786  -0.569786
  -4.98399  -0.535135  -0.535135  -0.535135
  -4.98299  -0.504561  -0.504561  -0.504561
  -4.98199  -0.477385  -0.477385  -0.477385
  -4.98099  -0.453071  -0.453071  -0.453071
  -4.97999   -0.43119   -0.43119   -0.43119
  -4.97899  -0.411394  -0.411394  -0.411394
  -4.97799    -0.3934    -0.3934    -0.3934
  -4.97699  -0.376972  -0.376972  -0.376972
  -4.97599  -0.361915  -0.361915  -0.361915
  -4.97499  -0.348064  -0.348064  -0.348064
  -4.97399   -0.33528   -0.33528   -0.33528
  -4.97299  -0.323445  -0.323445  -0.323445
  -4.97199  -0.312456  -0.312456  -0.312456
  -4.97099  -0.302228  -0.302228  -0.302228
  -4.96999  -0.292683  -0.292683  -0.292683
  -4.96899  -0.283755  -0.283755  -0.283755
  -4.96799  -0.275387  -0.275387  -0.275387
  -4.96699  -0.267527  -0.267527  -0.267527
  -4.96599  -0.260132  -0.260132  -0.260132
  -4.96499   -0.25316   -0.25316   -0.25316
  -4.96399  -0.246577  -0.246577  -0.246577
  -4.96299  -0.240352  -0.240352  -0.240352
  -4.96199  -0.234455  -0.234455  -0.234455
  -4.96099  -0.228863  -0.228863  -0.228863
  -4.95999  -0.223551  -0.223551  -0.223551
  -4.95899    -0.2185    -0.2185    -0.2185
  -4.95799  -0.213691  -0.213691  -0.213691
  -4.95699  -0.209106  -0.209106  -0.209106
  -4.95599  -0.204732  -0.204732  -0.204732
  -4.95499  -0.200553  -0.200553  -0.200553
  -4.95399  -0.196557  -0.196557  -0.196557
  -4.95299  -0.192732  -0.192732  -0.192732
  -4.95199  -0.189068  -0.189068  -0.189068
  -4.95099  -0.185554  -0.185554  -0.185554
  -4.94999  -0.182182  -0.182182  -0.182182
  -4.94899  -0.178944  -0.178944  -0.178944
  -4.94799  -0.175831  -0.175831  -0.175831
  -4.94699  -0.172837  -0.172837  -0.172837
  -4.94599  -0.169955  -0.169955  -0.169955
  -4.94499  -0.167179  -0.167179  -0.167179
  -4.94399  -0.164503  -0.164503  -0.164503
  -4.94299  -0.161922  -0.161922  -0.161922
  -4.94199  -0.159431  -0.159431  -0.159431
  -4.94099  -0.157025  -0.157025  -0.157025
  -4.93999  -0.154701  -0.154701  -0.154701
  -4.93899  -0.152454  -0.152454  -0.152454
  -4.93799   -0.15028   -0.15028   -0.15028
  -4.93699  -0.148177  -0.148177  -0.148177
  -4.93599   -0.14614   -0.14614   -0.14614
  -4.93499  -0.144167  -0.144167  -0.144167
  -4.93399  -0.142254  -0.142254  -0.142254
  -4.93299    -0.1404    -0.1404    -0.1404
  -4.93199  -0.138601  -0.138601  -0.138601
  -4.93099  -0.136855  -0.136855  -0.136855
  -4.92999  -0.135159  -0.135159  -0.135159
  -4.92899  -0.133513  -0.133513  -0.133513
  -4.92799  -0.131913  -0.131913  -0.131913
  -4.92699  -0.130358  -0.130358  -0.130358
  -4.92599  -0.128846  -0.128846  -0.128846
  -4.92499  -0.127375  -0.127375  -0.127375
  -4.92399  -0.125943  -0.125943  -0.125943
  -4.92299   -0.12455   -0.12455   -0.12455
  -4.92199  -0.123193  -0.123193  -0.123193
  -4.92099  -0.121871  -0.121871  -0.121871
  -4.91999  -0.120584  -0.120584  -0.120584
  -4.91899  -0.119328  -0.119328  -0.119328
  -4.91799  -0.118105  -0.118105  -0.118105
  -4.91699  -0.116911  -0.116911  -0.116911
  -4.91599  -0.115747  -0.115747  -0.115747
  -4.91499  -0.114611  -0.114611  -0.114611
  -4.91399  -0.113502  -0.113502  -0.113502
  -4.91299   -0.11242   -0.11242   -0.11242
  -4.91199  -0.111363  -0.111363  -0.111363
  -4.91099   -0.11033   -0.11033   -0.11033
  -4.90999  -0.109321  -0.109321  -0.109321
  -4.90899  -0.108335  -0.108335  -0.108335
  -4.90799  -0.107371  -0.107371  -0.107371
  -4.90699  -0.106429  -0.106429  -0.106429
  -4.90599  -0.105508  -0.105508  -0.105508
  -4.90499  -0.104606  -0.104606  -0.104606
  -4.90399  -0.103725  -0.103725  -0.103725
  -4.90299  -0.102862  -0.102862  -0.102862
  -4.90199  -0.102017  -0.102017  -0.102017
  -4.90099   -0.10119   -0.10119   -0.10119
  -4.89999  -0.100381  -0.100381  -0.100381
  -4.89899 -0.0995882 -0.0995882 -0.0995882
  -4.89799 -0.0988117 -0.0988117 -0.0988117
  -4.89699  -0.098051  -0.098051  -0.098051
  -4.89599 -0.0973056 -0.0973056 -0.0973056
  -4.89499 -0.0965752 -0.0965752 -0.0965752
  -4.89399 -0.0958592 -0.0958592 -0.0958592
  -4.89299 -0.0951573 -0.0951573 -0.0951573
  -4.89199 -0.0944691 -0.0944691 -0.0944691
  -4.89099 -0.0937942 -0.0937942 -0.0937942
  -4.88999 -0.0931322 -0.0931322 -0.0931322
