1	0	-1	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	4	0.27324	1
1	0	-1	1
2	2	-0.36338	0.707107
2	4	0.27324	0.707107
2	4	0.27324	0.707107
2	2	-0.36338	0.707107
2	4	0.27324	0.707107
2	2	-0.36338	0.707107
2	4	0.27324	0.707107
2	2	-0.36338	0.707107
2	2	-0.36338	0.707107
2	2	-0.36338	0.707107
2	2	-0.36338	0.707107
2	2	-0.36338	0.707107
2	2	-0.36338	0.707107
2	4	0.27324	0.707107
3	4	0.27324	0.57735
3	0	-1	0.57735
3	4	0.27324	0.57735
3	0	-1	0.57735
3	2.66667	-0.151174	0.57735
3	2.66667	-0.151174	0.57735
3	2.66667	-0.151174	0.57735
3	4	0.27324	0.57735
3	4	0.27324	0.57735
3	2.66667	-0.151174	0.57735
3	4	0.27324	0.57735
4	4	0.27324	0.5
4	3	-0.0450703	0.5
4	3	-0.0450703	0.5
4	3	-0.0450703	0.5
4	4	0.27324	0.5
4	3	-0.0450703	0.5
4	4	0.27324	0.5
4	4	0.27324	0.5
5	3.2	0.0185916	0.447214
5	4	0.27324	0.447214
5	3.2	0.0185916	0.447214
5	4	0.27324	0.447214
5	3.2	0.0185916	0.447214
5	4	0.27324	0.447214
6	4	0.27324	0.408248
6	3.33333	0.061033	0.408248
6	3.33333	0.061033	0.408248
6	3.33333	0.061033	0.408248
6	4	0.27324	0.408248
6	2.66667	-0.151174	0.408248
7	3.42857	0.0913482	0.377964
7	4	0.27324	0.377964
7	2.85714	-0.0905432	0.377964
7	2.28571	-0.272435	0.377964
7	3.42857	0.0913482	0.377964
8	3.5	0.114085	0.353553
8	3.5	0.114085	0.353553
8	3.5	0.114085	0.353553
8	2.5	-0.204225	0.353553
9	2.66667	-0.151174	0.333333
9	3.55556	0.131768	0.333333
9	3.55556	0.131768	0.333333
9	4	0.27324	0.333333
10	4	0.27324	0.316228
10	2.8	-0.108732	0.316228
10	3.6	0.145916	0.316228
11	2.18182	-0.305506	0.301511
11	2.90909	-0.0740076	0.301511
11	3.27273	0.0417414	0.301511
12	3.33333	0.061033	0.288675
12	3.66667	0.167136	0.288675
12	3.33333	0.061033	0.288675
13	3.07692	-0.020585	0.27735
13	3.07692	-0.020585	0.27735
13	3.38462	0.0773565	0.27735
14	3.71429	0.182294	0.267261
14	3.71429	0.182294	0.267261
14	2.85714	-0.0905432	0.267261
15	3.46667	0.103474	0.258199
